,Item 1,Item 2,,,support,confidence,lift,,conviction
392,"frozenset({'rolls/buns', 'whole milk', 'other vegetables'})",frozenset({'yogurt'}),,,0.005998983,0.335227273,2.403032236,,1.294424674
458,"frozenset({'tropical fruit', 'bottled water'})",frozenset({'other vegetables'}),,,0.006202339,0.335164835,1.732184001,,1.213093733
386,"frozenset({'rolls/buns', 'yogurt'})",frozenset({'other vegetables'}),,,0.011489578,0.334319527,1.727815315,,1.211553296
568,"frozenset({'tropical fruit', 'root vegetables'})","frozenset({'whole milk', 'other vegetables'})",,,0.00701576,0.333333333,4.454257246,,1.387747839
2884,"frozenset({'sausage', 'root vegetables'})",frozenset({'rolls/buns'}),,,0.004982206,0.333333333,1.812235121,,1.224097611
1144,"frozenset({'rolls/buns', 'butter'})",frozenset({'yogurt'}),,,0.004473818,0.333333333,2.389455782,,1.290747331
2179,"frozenset({'soda', 'fruit/vegetable juice'})",frozenset({'whole milk'}),,,0.006100661,0.331491713,1.297342218,,1.113649599
1700,frozenset({'beef'}),frozenset({'root vegetables'}),,,0.017386884,0.331395349,3.040366843,,1.332628368
2102,"frozenset({'yogurt', 'newspapers'})",frozenset({'rolls/buns'}),,,0.005083884,0.331125828,1.800233564,,1.220057684
3490,"frozenset({'tropical fruit', 'whipped/sour cream'})",frozenset({'root vegetables'}),,,0.004575496,0.330882353,3.035660393,,1.331606675
2699,frozenset({'waffles'}),frozenset({'whole milk'}),,,0.01270971,0.330687831,1.294196106,,1.112312042
3086,"frozenset({'soda', 'brown bread'})",frozenset({'other vegetables'}),,,0.004168785,0.330645161,1.708825623,,1.204902579
1151,"frozenset({'butter', 'other vegetables'})",frozenset({'root vegetables'}),,,0.006609049,0.329949239,3.027099591,,1.329752276
1445,"frozenset({'whole milk', 'chocolate'})",frozenset({'other vegetables'}),,,0.005490595,0.329268293,1.701709752,,1.202429172
3003,"frozenset({'shopping bags', 'other vegetables'})",frozenset({'whole milk'}),,,0.007625826,0.328947368,1.287384548,,1.109427116
3770,"frozenset({'other vegetables', 'domestic eggs'})",frozenset({'root vegetables'}),,,0.007320793,0.328767123,3.016254345,,1.327410435
2902,"frozenset({'sausage', 'other vegetables'})",frozenset({'rolls/buns'}),,,0.008845958,0.328301887,1.784880628,,1.21492834
1374,"frozenset({'bottled water', 'other vegetables'})",frozenset({'yogurt'}),,,0.008134215,0.327868852,2.350284376,,1.28025345
288,"frozenset({'whole milk', 'margarine'})",frozenset({'rolls/buns'}),,,0.007930859,0.327731092,1.781777388,,1.213896797
2422,"frozenset({'yogurt', 'pastry'})",frozenset({'rolls/buns'}),,,0.005795628,0.327586207,1.780989688,,1.213635238
158,"frozenset({'citrus fruit', 'root vegetables'})","frozenset({'whole milk', 'other vegetables'})",,,0.005795628,0.327586207,4.377459708,,1.375886747
2088,"frozenset({'soda', 'newspapers'})",frozenset({'whole milk'}),,,0.004778851,0.326388889,1.277371557,,1.10521334
3416,"frozenset({'rolls/buns', 'whipped/sour cream'})",frozenset({'yogurt'}),,,0.004778851,0.326388889,2.339675454,,1.277440657
1474,frozenset({'white bread'}),frozenset({'other vegetables'}),,,0.013726487,0.326086957,1.685268112,,1.196752874
953,"frozenset({'cream cheese ', 'other vegetables'})",frozenset({'root vegetables'}),,,0.004473818,0.325925926,2.990187949,,1.321815449
1851,frozenset({'frankfurter'}),frozenset({'rolls/buns'}),,,0.019217082,0.325862069,1.771616058,,1.210531311
2794,frozenset({'sausage'}),frozenset({'rolls/buns'}),,,0.030604982,0.325757576,1.771047959,,1.210343705
212,"frozenset({'citrus fruit', 'soda'})",frozenset({'yogurt'}),,,0.004168785,0.325396825,2.332563978,,1.275562068
216,"frozenset({'citrus fruit', 'soda'})",frozenset({'other vegetables'}),,,0.004168785,0.325396825,1.681701407,,1.195528574
1549,frozenset({'curd'}),frozenset({'yogurt'}),,,0.017285206,0.324427481,2.325615361,,1.273731829
3652,"frozenset({'pork', 'other vegetables'})",frozenset({'root vegetables'}),,,0.00701576,0.323943662,2.972001787,,1.317939756
3500,"frozenset({'tropical fruit', 'whipped/sour cream'})","frozenset({'whole milk', 'other vegetables'})",,,0.004473818,0.323529412,4.32324968,,1.367635552
1361,"frozenset({'yogurt', 'bottled water'})",frozenset({'soda'}),,,0.007422471,0.32300885,1.852356872,,1.219547368
2961,"frozenset({'shopping bags', 'rolls/buns'})",frozenset({'soda'}),,,0.006304016,0.322916667,1.851828231,,1.21938133
2597,"frozenset({'yogurt', 'other vegetables', 'root vegetables'})",frozenset({'rolls/buns'}),,,0.004168785,0.322834646,1.755156849,,1.205119353
1166,"frozenset({'butter', 'root vegetables'})","frozenset({'other vegetables', 'whole milk'})",,,0.004168785,0.322834646,4.31396568,,1.366232369
3146,"frozenset({'rolls/buns', 'brown bread'})",frozenset({'other vegetables'}),,,0.004067107,0.322580645,1.66714695,,1.190558501
1278,"frozenset({'bottled water', 'bottled beer'})",frozenset({'soda'}),,,0.005083884,0.322580645,1.849901251,,1.218776479
1559,frozenset({'curd'}),frozenset({'other vegetables'}),,,0.017183528,0.322519084,1.666828792,,1.190450318
634,frozenset({'coffee'}),frozenset({'whole milk'}),,,0.018708693,0.322241681,1.261140842,,1.098450532
529,"frozenset({'yogurt', 'tropical fruit', 'whole milk'})",frozenset({'rolls/buns'}),,,0.004880529,0.322147651,1.751421862,,1.20389798
124,"frozenset({'citrus fruit', 'root vegetables'})",frozenset({'tropical fruit'}),,,0.00569395,0.32183908,3.067138911,,1.319846966
2583,"frozenset({'yogurt', 'whole milk', 'root vegetables'})",frozenset({'rolls/buns'}),,,0.004677173,0.321678322,1.748870256,,1.203065006
336,"frozenset({'yogurt', 'margarine'})",frozenset({'rolls/buns'}),,,0.004575496,0.321428571,1.747512438,,1.202622214
783,"frozenset({'rolls/buns', 'pip fruit'})",frozenset({'tropical fruit'}),,,0.004473818,0.321167883,3.060742375,,1.318541964
2660,"frozenset({'soda', 'whole milk', 'other vegetables'})",frozenset({'root vegetables'}),,,0.004473818,0.321167883,2.94653557,,1.312550634
1742,"frozenset({'beef', 'whole milk'})",frozenset({'rolls/buns'}),,,0.006812405,0.320574163,1.742867269,,1.201109862
1066,"frozenset({'butter', 'other vegetables'})",frozenset({'yogurt'}),,,0.006405694,0.319796954,2.292422045,,1.265060817
1633,"frozenset({'other vegetables', 'curd'})",frozenset({'root vegetables'}),,,0.005490595,0.319526627,2.931477965,,1.30938485
3780,"frozenset({'root vegetables', 'domestic eggs'})","frozenset({'whole milk', 'other vegetables'})",,,0.004575496,0.319148936,4.264714385,,1.358836426
2334,frozenset({'sugar'}),frozenset({'other vegetables'}),,,0.010777834,0.318318318,1.645118582,,1.183114338
1980,"frozenset({'other vegetables', 'chicken'})",frozenset({'root vegetables'}),,,0.00569395,0.318181818,2.919140095,,1.306802237
2800,frozenset({'sausage'}),frozenset({'whole milk'}),,,0.029893238,0.318181818,1.245251963,,1.091909846
494,"frozenset({'rolls/buns', 'tropical fruit'})",frozenset({'other vegetables'}),,,0.007829181,0.318181818,1.644413128,,1.182877478
2513,"frozenset({'pastry', 'whole milk'})",frozenset({'other vegetables'}),,,0.010574479,0.318042813,1.64369473,,1.18263637
720,"frozenset({'pip fruit', 'whole milk'})",frozenset({'yogurt'}),,,0.009557702,0.317567568,2.276440982,,1.260928086
614,"frozenset({'tropical fruit', 'soda'})",frozenset({'yogurt'}),,,0.006609049,0.317073171,2.272896964,,1.260015252
3263,"frozenset({'other vegetables', 'napkins'})",frozenset({'root vegetables'}),,,0.004575496,0.316901408,2.907393052,,1.304352748
56,"frozenset({'tropical fruit', 'citrus fruit'})",frozenset({'yogurt'}),,,0.006304016,0.316326531,2.267544773,,1.258639188
3517,"frozenset({'tropical fruit', 'whipped/sour cream'})","frozenset({'yogurt', 'whole milk'})",,,0.00437214,0.316176471,5.643549162,,1.380437433
356,"frozenset({'yogurt', 'soda'})",frozenset({'rolls/buns'}),,,0.008642603,0.31598513,1.717918051,,1.193051657
1223,"frozenset({'rolls/buns', 'whole milk'})",frozenset({'other vegetables'}),,,0.017895272,0.315978456,1.633025809,,1.179067207
2813,"frozenset({'sausage', 'rolls/buns'})",frozenset({'soda'}),,,0.00965938,0.315614618,1.809953217,,1.206371143
559,"frozenset({'yogurt', 'root vegetables'})",frozenset({'tropical fruit'}),,,0.008134215,0.31496063,3.001587011,,1.30659444
2204,"frozenset({'other vegetables', 'fruit/vegetable juice'})",frozenset({'tropical fruit'}),,,0.006609049,0.314009662,2.992524248,,1.304783147
2264,"frozenset({'other vegetables', 'fruit/vegetable juice'})",frozenset({'root vegetables'}),,,0.006609049,0.314009662,2.880862896,,1.298854336
369,"frozenset({'soda', 'whole milk', 'other vegetables'})",frozenset({'yogurt'}),,,0.00437214,0.313868613,2.249925518,,1.254130385
1839,"frozenset({'soda', 'whole milk', 'other vegetables'})",frozenset({'rolls/buns'}),,,0.00437214,0.313868613,1.706411172,,1.189371437
528,"frozenset({'rolls/buns', 'yogurt', 'whole milk'})",frozenset({'tropical fruit'}),,,0.004880529,0.31372549,2.989816081,,1.304242864
1343,"frozenset({'bottled water', 'whole milk'})",frozenset({'other vegetables'}),,,0.010777834,0.313609467,1.620782508,,1.174997809
732,"frozenset({'tropical fruit', 'pip fruit'})",frozenset({'yogurt'}),,,0.006405694,0.313432836,2.246801706,,1.253334365
62,"frozenset({'citrus fruit', 'other vegetables'})",frozenset({'tropical fruit'}),,,0.009049314,0.313380282,2.986526231,,1.303587136
2849,"frozenset({'sausage', 'whole milk'})",frozenset({'rolls/buns'}),,,0.009354347,0.31292517,1.70128195,,1.187738276
893,frozenset({'cream cheese '}),frozenset({'yogurt'}),,,0.012404677,0.312820513,2.24241235,,1.25221756
1090,"frozenset({'yogurt', 'butter'})",frozenset({'tropical fruit'}),,,0.004575496,0.3125,2.978137112,,1.301918011
3676,frozenset({'dessert'}),frozenset({'other vegetables'}),,,0.011591256,0.312328767,1.614163649,,1.172809524
1889,"frozenset({'rolls/buns', 'frankfurter'})",frozenset({'whole milk'}),,,0.005998983,0.312169312,1.221721124,,1.082365179
832,"frozenset({'pip fruit', 'other vegetables'})",frozenset({'root vegetables'}),,,0.008134215,0.311284047,2.855856902,,1.293714079
726,"frozenset({'pip fruit', 'other vegetables'})",frozenset({'yogurt'}),,,0.008134215,0.311284047,2.231398396,,1.24942397
346,frozenset({'yogurt'}),frozenset({'other vegetables'}),,,0.04341637,0.31122449,1.608456572,,1.170929221
3002,"frozenset({'shopping bags', 'whole milk'})",frozenset({'other vegetables'}),,,0.007625826,0.31120332,1.608347161,,1.170893232
1334,frozenset({'bottled water'}),frozenset({'whole milk'}),,,0.034367056,0.310947562,1.216939623,,1.080446051
2144,"frozenset({'newspapers', 'other vegetables'})",frozenset({'root vegetables'}),,,0.005998983,0.310526316,2.848905145,,1.292292288
335,"frozenset({'rolls/buns', 'margarine'})",frozenset({'yogurt'}),,,0.004575496,0.310344828,2.224665728,,1.24772242
2544,"frozenset({'whole milk', 'other vegetables'})",frozenset({'root vegetables'}),,,0.023182511,0.309782609,2.842082049,,1.290899847
1368,"frozenset({'yogurt', 'bottled water'})",frozenset({'rolls/buns'}),,,0.007117438,0.309734513,1.683935289,,1.18224812
471,"frozenset({'yogurt', 'bottled water'})",frozenset({'tropical fruit'}),,,0.007117438,0.309734513,2.951781917,,1.296701993
3239,"frozenset({'whole milk', 'napkins'})",frozenset({'yogurt'}),,,0.006100661,0.309278351,2.217020829,,1.245795931
3378,"frozenset({'yogurt', 'whipped/sour cream'})",frozenset({'root vegetables'}),,,0.006405694,0.308823529,2.833283033,,1.28910859
88,"frozenset({'citrus fruit', 'bottled water'})",frozenset({'tropical fruit'}),,,0.004168785,0.308270677,2.937831497,,1.293957914
1220,frozenset({'rolls/buns'}),frozenset({'whole milk'}),,,0.056634469,0.30790492,1.205031789,,1.07569611
2454,"frozenset({'pastry', 'tropical fruit'})",frozenset({'rolls/buns'}),,,0.004067107,0.307692308,1.672832419,,1.178760662
1610,"frozenset({'other vegetables', 'curd'})",frozenset({'tropical fruit'}),,,0.005287239,0.307692308,2.932319618,,1.292876914
3658,"frozenset({'pork', 'whole milk'})",frozenset({'root vegetables'}),,,0.006812405,0.30733945,2.819667431,,1.286346573
2831,"frozenset({'shopping bags', 'rolls/buns'})",frozenset({'sausage'}),,,0.005998983,0.307291667,3.270793876,,1.307981698
2228,"frozenset({'bottled water', 'fruit/vegetable juice'})",frozenset({'yogurt'}),,,0.00437214,0.307142857,2.201712828,,1.241956195
1603,"frozenset({'yogurt', 'curd'})",frozenset({'tropical fruit'}),,,0.005287239,0.305882353,2.915070679,,1.289505657
2854,"frozenset({'sausage', 'yogurt'})",frozenset({'rolls/buns'}),,,0.005998983,0.305699482,1.661998012,,1.175377308
2848,"frozenset({'sausage', 'rolls/buns'})",frozenset({'whole milk'}),,,0.009354347,0.305647841,1.196198373,,1.072199424
3499,"frozenset({'whipped/sour cream', 'whole milk', 'other vegetables'})",frozenset({'tropical fruit'}),,,0.004473818,0.305555556,2.911956288,,1.288898831
1146,"frozenset({'yogurt', 'butter'})",frozenset({'rolls/buns'}),,,0.004473818,0.305555556,1.661215527,,1.175133706
1451,"frozenset({'whole milk', 'chocolate'})",frozenset({'soda'}),,,0.005083884,0.304878049,1.74838228,,1.187738028
360,"frozenset({'yogurt', 'soda'})",frozenset({'other vegetables'}),,,0.00833757,0.304832714,1.57542288,,1.160163011
2126,"frozenset({'newspapers', 'whole milk'})",frozenset({'other vegetables'}),,,0.00833757,0.304832714,1.57542288,,1.160163011
1524,"frozenset({'white bread', 'other vegetables'})",frozenset({'tropical fruit'}),,,0.004168785,0.303703704,2.894308068,,1.285470908
3388,"frozenset({'whipped/sour cream', 'root vegetables'})","frozenset({'whole milk', 'other vegetables'})",,,0.005185562,0.303571429,4.056555707,,1.328442376
3991,"frozenset({'frozen vegetables', 'whole milk'})",frozenset({'root vegetables'}),,,0.006202339,0.303482587,2.784282877,,1.279223618
2624,"frozenset({'yogurt', 'root vegetables'})","frozenset({'whole milk', 'other vegetables'})",,,0.007829181,0.303149606,4.050918992,,1.327638234
567,"frozenset({'whole milk', 'other vegetables', 'root vegetables'})",frozenset({'tropical fruit'}),,,0.00701576,0.302631579,2.884090677,,1.283494643
1378,"frozenset({'rolls/buns', 'bottled water'})",frozenset({'other vegetables'}),,,0.007320793,0.302521008,1.563475627,,1.156317798
1920,"frozenset({'whole milk', 'frankfurter'})",frozenset({'yogurt'}),,,0.006202339,0.301980198,2.164704991,,1.2327705
2867,"frozenset({'sausage', 'other vegetables'})",frozenset({'yogurt'}),,,0.008134215,0.301886792,2.164035425,,1.232605559
1832,"frozenset({'soda', 'other vegetables'})",frozenset({'rolls/buns'}),,,0.009862735,0.301242236,1.63776528,,1.167879794
94,"frozenset({'citrus fruit', 'bottled water'})",frozenset({'yogurt'}),,,0.004067107,0.30075188,2.155899954,,1.230604982
1458,"frozenset({'soda', 'chocolate'})",frozenset({'rolls/buns'}),,,0.004067107,0.30075188,1.635099357,,1.167060804
2251,"frozenset({'rolls/buns', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),,,0.00437214,0.300699301,1.554060758,,1.153305541
2582,"frozenset({'rolls/buns', 'yogurt', 'whole milk'})",frozenset({'root vegetables'}),,,0.004677173,0.300653595,2.758328456,,1.27404891
1998,"frozenset({'whole milk', 'chicken'})",frozenset({'rolls/buns'}),,,0.005287239,0.300578035,1.634154213,,1.166770725
129,"frozenset({'citrus fruit', 'whole milk'})",frozenset({'root vegetables'}),,,0.009150991,0.3,2.75233209,,1.272859322
1277,"frozenset({'soda', 'bottled beer'})",frozenset({'bottled water'}),,,0.005083884,0.299401198,2.708933559,,1.269594462
3485,"frozenset({'yogurt', 'whipped/sour cream'})",frozenset({'tropical fruit'}),,,0.006202339,0.299019608,2.849668453,,1.276881126
306,"frozenset({'other vegetables', 'margarine'})",frozenset({'root vegetables'}),,,0.005897306,0.298969072,2.742873904,,1.27098747
1157,"frozenset({'butter', 'whole milk'})",frozenset({'root vegetables'}),,,0.008235892,0.298892989,2.742175883,,1.270849544
1464,"frozenset({'whole milk', 'chocolate'})",frozenset({'rolls/buns'}),,,0.004982206,0.298780488,1.62438148,,1.163779757
1074,"frozenset({'yogurt', 'butter'})","frozenset({'other vegetables', 'whole milk'})",,,0.00437214,0.298611111,3.990272117,,1.319047451
508,"frozenset({'yogurt', 'tropical fruit'})",frozenset({'rolls/buns'}),,,0.008744281,0.298611111,1.623460629,,1.163498719
3404,"frozenset({'rolls/buns', 'whipped/sour cream'})",frozenset({'root vegetables'}),,,0.00437214,0.298611111,2.739589811,,1.270338808
1284,"frozenset({'bottled beer', 'whole milk'})",frozenset({'bottled water'}),,,0.006100661,0.298507463,2.70084719,,1.267976939
4022,"frozenset({'frozen vegetables', 'whole milk'})",frozenset({'yogurt'}),,,0.006100661,0.298507463,2.139811148,,1.226667676
1264,"frozenset({'rolls/buns', 'bottled beer'})",frozenset({'other vegetables'}),,,0.004067107,0.298507463,1.542732998,,1.149701998
3825,"frozenset({'yogurt', 'domestic eggs'})",frozenset({'tropical fruit'}),,,0.004270463,0.29787234,2.83873495,,1.274794719
3802,"frozenset({'yogurt', 'domestic eggs'})",frozenset({'rolls/buns'}),,,0.004270463,0.29787234,1.61944415,,1.162274499
408,"frozenset({'whole milk', 'other vegetables'})",frozenset({'yogurt'}),,,0.022267412,0.297554348,2.132978871,,1.22500327
2615,"frozenset({'yogurt', 'other vegetables'})",frozenset({'root vegetables'}),,,0.012913066,0.297423888,2.7286977,,1.268192171
2610,"frozenset({'whole milk', 'root vegetables'})",frozenset({'yogurt'}),,,0.014539908,0.297297297,2.131136238,,1.22455516
826,"frozenset({'pip fruit', 'whole milk'})",frozenset({'root vegetables'}),,,0.008947636,0.297297297,2.727536305,,1.267963709
4028,"frozenset({'frozen vegetables', 'other vegetables'})",frozenset({'yogurt'}),,,0.005287239,0.297142857,2.130029155,,1.224286086
2561,"frozenset({'rolls/buns', 'root vegetables'})",frozenset({'yogurt'}),,,0.007219115,0.29707113,2.129514986,,1.224161159
2824,"frozenset({'sausage', 'soda'})",frozenset({'other vegetables'}),,,0.007219115,0.29707113,1.535309806,,1.147352749
50,"frozenset({'citrus fruit', 'whole milk'})",frozenset({'tropical fruit'}),,,0.009049314,0.296666667,2.827244832,,1.27260943
3308,"frozenset({'hamburger meat', 'whole milk'})",frozenset({'rolls/buns'}),,,0.00437214,0.296551724,1.612264349,,1.160092507
1926,"frozenset({'other vegetables', 'frankfurter'})",frozenset({'yogurt'}),,,0.004880529,0.296296296,2.123960695,,1.222813261
3366,"frozenset({'whipped/sour cream', 'other vegetables'})",frozenset({'root vegetables'}),,,0.008540925,0.295774648,2.713566849,,1.265222166
2742,frozenset({'salty snack'}),frozenset({'whole milk'}),,,0.011184545,0.295698925,1.157261808,,1.057053598
1380,"frozenset({'bottled water', 'other vegetables'})",frozenset({'rolls/buns'}),,,0.007320793,0.295081967,1.604273713,,1.157673709
1366,"frozenset({'rolls/buns', 'bottled water'})",frozenset({'yogurt'}),,,0.007117438,0.294117647,2.108343337,,1.219039146
1748,"frozenset({'beef', 'other vegetables'})",frozenset({'rolls/buns'}),,,0.005795628,0.293814433,1.597382503,,1.155595798
836,"frozenset({'yogurt', 'pip fruit'})",frozenset({'root vegetables'}),,,0.005287239,0.293785311,2.695315794,,1.26165816
3373,"frozenset({'whipped/sour cream', 'whole milk'})",frozenset({'root vegetables'}),,,0.009456024,0.293375394,2.69155504,,1.260926266
959,frozenset({'whole milk'}),frozenset({'other vegetables'}),,,0.074834774,0.292877039,1.513634095,,1.140547566
2416,"frozenset({'pastry', 'other vegetables'})",frozenset({'yogurt'}),,,0.006609049,0.292792793,2.098846295,,1.216755446
2861,"frozenset({'sausage', 'whole milk'})",frozenset({'yogurt'}),,,0.008744281,0.292517007,2.09686936,,1.216281139
478,"frozenset({'bottled water', 'root vegetables'})",frozenset({'tropical fruit'}),,,0.004575496,0.292207792,2.784751586,,1.26459238
1890,"frozenset({'whole milk', 'frankfurter'})",frozenset({'rolls/buns'}),,,0.005998983,0.292079208,1.587948596,,1.152763251
2072,"frozenset({'soda', 'newspapers'})",frozenset({'yogurt'}),,,0.004270463,0.291666667,2.09077381,,1.214821017
68,"frozenset({'tropical fruit', 'whole milk', 'other vegetables'})",frozenset({'citrus fruit'}),,,0.004982206,0.291666667,3.524006962,,1.294919106
2494,"frozenset({'rolls/buns', 'pastry'})",frozenset({'other vegetables'}),,,0.006100661,0.291262136,1.505288022,,1.137948757
484,"frozenset({'tropical fruit', 'bottled water'})",frozenset({'rolls/buns'}),,,0.005388917,0.291208791,1.583216397,,1.151347623
2155,frozenset({'fruit/vegetable juice'}),frozenset({'other vegetables'}),,,0.02104728,0.291139241,1.50465288,,1.137751471
54,"frozenset({'yogurt', 'citrus fruit'})",frozenset({'tropical fruit'}),,,0.006304016,0.291079812,2.774001892,,1.262580256
1901,"frozenset({'rolls/buns', 'frankfurter'})",frozenset({'other vegetables'}),,,0.005592272,0.291005291,1.503960608,,1.137536517
324,"frozenset({'whole milk', 'margarine'})",frozenset({'yogurt'}),,,0.00701576,0.289915966,2.078224147,,1.211825897
2114,"frozenset({'newspapers', 'other vegetables'})",frozenset({'yogurt'}),,,0.005592272,0.289473684,2.075053706,,1.21107157
3327,frozenset({'whipped/sour cream'}),frozenset({'yogurt'}),,,0.020742247,0.289361702,2.074250977,,1.21088073
1177,"frozenset({'butter', 'other vegetables'})",frozenset({'whipped/sour cream'}),,,0.005795628,0.289340102,4.036397019,,1.306274966
2903,"frozenset({'sausage', 'rolls/buns'})",frozenset({'other vegetables'}),,,0.008845958,0.289036545,1.493785822,,1.134386537
3228,"frozenset({'other vegetables', 'napkins'})",frozenset({'rolls/buns'}),,,0.004168785,0.288732394,1.569752957,,1.147339015
330,"frozenset({'other vegetables', 'margarine'})",frozenset({'yogurt'}),,,0.00569395,0.288659794,2.06921944,,1.209685904
3511,"frozenset({'yogurt', 'tropical fruit', 'whole milk'})",frozenset({'whipped/sour cream'}),,,0.00437214,0.288590604,4.025941263,,1.304898754
3064,frozenset({'brown bread'}),frozenset({'other vegetables'}),,,0.018708693,0.288401254,1.490502539,,1.133373795
1796,"frozenset({'beef', 'whole milk'})",frozenset({'yogurt'}),,,0.006100661,0.28708134,2.057904502,,1.207007571
2806,frozenset({'sausage'}),frozenset({'other vegetables'}),,,0.026944586,0.286796537,1.482209112,,1.13082369
1754,"frozenset({'beef', 'root vegetables'})",frozenset({'rolls/buns'}),,,0.004982206,0.286549708,1.557886332,,1.143828915
2549,"frozenset({'rolls/buns', 'other vegetables'})",frozenset({'root vegetables'}),,,0.012201322,0.286396181,2.627524668,,1.248594111
2233,"frozenset({'bottled water', 'fruit/vegetable juice'})",frozenset({'other vegetables'}),,,0.004067107,0.285714286,1.47661587,,1.12911032
122,"frozenset({'citrus fruit', 'tropical fruit'})",frozenset({'root vegetables'}),,,0.00569395,0.285714286,2.621268657,,1.247402135
275,"frozenset({'yogurt', 'margarine'})",frozenset({'tropical fruit'}),,,0.004067107,0.285714286,2.722868217,,1.253096085
1536,"frozenset({'white bread', 'whole milk'})",frozenset({'yogurt'}),,,0.004880529,0.285714286,2.048104956,,1.204697509
962,frozenset({'long life bakery product'}),frozenset({'other vegetables'}),,,0.010676157,0.285326087,1.474609598,,1.128497007
3033,"frozenset({'shopping bags', 'other vegetables'})",frozenset({'root vegetables'}),,,0.006609049,0.285087719,2.615520261,,1.246308882
2873,"frozenset({'sausage', 'yogurt'})",frozenset({'soda'}),,,0.005592272,0.284974093,1.634239188,,1.154675331
2734,frozenset({'salty snack'}),frozenset({'other vegetables'}),,,0.010777834,0.284946237,1.472646472,,1.127897527
3764,"frozenset({'whole milk', 'domestic eggs'})",frozenset({'root vegetables'}),,,0.008540925,0.284745763,2.612383,,1.245713033
1134,"frozenset({'butter', 'other vegetables'})",frozenset({'rolls/buns'}),,,0.00569395,0.284263959,1.545459392,,1.140176025
2132,"frozenset({'newspapers', 'other vegetables'})",frozenset({'rolls/buns'}),,,0.005490595,0.284210526,1.545168892,,1.140090912
553,"frozenset({'tropical fruit', 'whole milk'})",frozenset({'root vegetables'}),,,0.011997966,0.283653846,2.602365277,,1.24381421
433,"frozenset({'yogurt', 'other vegetables'})",frozenset({'tropical fruit'}),,,0.012302999,0.283372365,2.700549625,,1.249001
2674,"frozenset({'bottled water', 'other vegetables'})",frozenset({'root vegetables'}),,,0.00701576,0.282786885,2.594411396,,1.242310698
740,"frozenset({'yogurt', 'pip fruit'})","frozenset({'whole milk', 'other vegetables'})",,,0.005083884,0.282485876,3.774794277,,1.289403504
3100,"frozenset({'whole milk', 'brown bread'})",frozenset({'yogurt'}),,,0.007117438,0.282258065,2.023329493,,1.198896397
2239,"frozenset({'soda', 'fruit/vegetable juice'})",frozenset({'bottled water'}),,,0.005185562,0.281767956,2.549390842,,1.238424778
2408,"frozenset({'yogurt', 'pastry'})",frozenset({'soda'}),,,0.004982206,0.281609195,1.614942529,,1.149266904
1385,"frozenset({'rolls/buns', 'bottled water'})",frozenset({'soda'}),,,0.006812405,0.281512605,1.614388613,,1.149112401
1356,"frozenset({'bottled water', 'whole milk'})",frozenset({'yogurt'}),,,0.00965938,0.281065089,2.014777805,,1.19690699
794,"frozenset({'citrus fruit', 'tropical fruit'})",frozenset({'pip fruit'}),,,0.005592272,0.280612245,3.709437404,,1.284914566
752,"frozenset({'pip fruit', 'whole milk'})",frozenset({'tropical fruit'}),,,0.008439248,0.280405405,2.672274382,,1.243851245
489,"frozenset({'tropical fruit', 'bottled water'})",frozenset({'soda'}),,,0.005185562,0.28021978,1.606974658,,1.147048437
548,"frozenset({'tropical fruit', 'root vegetables'})",frozenset({'rolls/buns'}),,,0.005897306,0.280193237,1.523328072,,1.133727988
2997,"frozenset({'shopping bags', 'yogurt'})",frozenset({'soda'}),,,0.004270463,0.28,1.605714286,,1.1466983
3640,"frozenset({'pork', 'whole milk'})",frozenset({'rolls/buns'}),,,0.006202339,0.279816514,1.521279941,,1.133134943
764,"frozenset({'tropical fruit', 'whole milk', 'other vegetables'})",frozenset({'pip fruit'}),,,0.004778851,0.279761905,3.698196685,,1.283397547
2562,"frozenset({'yogurt', 'root vegetables'})",frozenset({'rolls/buns'}),,,0.007219115,0.279527559,1.519708979,,1.132680485
1869,frozenset({'frankfurter'}),frozenset({'other vegetables'}),,,0.016471784,0.279310345,1.443519307,,1.119077214
413,frozenset({'tropical fruit'}),frozenset({'yogurt'}),,,0.029283172,0.279069767,2.000474608,,1.193594306
2096,"frozenset({'newspapers', 'whole milk'})",frozenset({'rolls/buns'}),,,0.007625826,0.278810409,1.515810045,,1.131554149
2004,"frozenset({'other vegetables', 'chicken'})",frozenset({'rolls/buns'}),,,0.004982206,0.278409091,1.513628197,,1.130924827
2130,"frozenset({'rolls/buns', 'newspapers'})",frozenset({'other vegetables'}),,,0.005490595,0.278350515,1.43855876,,1.117588786
2071,"frozenset({'yogurt', 'newspapers'})",frozenset({'soda'}),,,0.004270463,0.278145695,1.595080416,,1.143752653
2053,"frozenset({'yogurt', 'newspapers'})",frozenset({'tropical fruit'}),,,0.004270463,0.278145695,2.650739258,,1.239957463
2979,"frozenset({'shopping bags', 'whole milk'})",frozenset({'soda'}),,,0.006812405,0.278008299,1.594292489,,1.143534994
2078,"frozenset({'soda', 'newspapers'})",frozenset({'rolls/buns'}),,,0.004067107,0.277777778,1.510195934,,1.129936256
558,"frozenset({'yogurt', 'tropical fruit'})",frozenset({'root vegetables'}),,,0.008134215,0.277777778,2.548455638,,1.233694419
382,"frozenset({'yogurt', 'whole milk'})",frozenset({'rolls/buns'}),,,0.015556685,0.277676951,1.509647768,,1.129778532
